"RK",TIERS,"PLAYER NAME",TEAM,"FANTASYPTS","PTS VS.","SACK","SAFE","INT","FUMR","DEF TD","BLK KICK","RET TD"
"1",1,"Baltimore Ravens",BAL,"174","0","60","1","18","13","1","0","0"
"2",1,"New York Jets",NYJ,"154","0","48","3","17","10","3","0","0"
"3",1,"San Francisco 49ers",SF,"141","0","48","1","22","6","1","0","0"
"4",2,"Dallas Cowboys",DAL,"178","0","46","1","17","9","6","0","0"
"5",2,"Cleveland Browns",CLE,"153","0","49","0","18","10","3","0","0"
"6",2,"Pittsburgh Steelers",PIT,"143","0","47","1","16","11","2","0","0"
"7",2,"Kansas City Chiefs",KC,"134","0","57","0","8","9","2","0","0"
"8",3,"Buffalo Bills",BUF,"159","0","54","0","18","12","2","0","0"
"9",3,"Houston Texans",HOU,"131","0","46","0","14","10","1","0","0"
"10",3,"Philadelphia Eagles",PHI,"101","0","43","1","9","8","3","0","0"
"11",3,"Miami Dolphins",MIA,"152","0","56","0","15","12","4","0","0"
"12",3,"New Orleans Saints",NO,"143","0","34","0","18","11","2","0","0"
"13",3,"Chicago Bears",CHI,"120","0","30","0","22","6","2","0","0"
"14",4,"Detroit Lions",DET,"107","0","41","1","16","6","1","0","0"
"15",4,"Indianapolis Colts",IND,"139","0","51","1","15","9","4","0","0"
"16",4,"Cincinnati Bengals",CIN,"118","0","44","0","17","9","1","0","0"
"17",4,"Green Bay Packers",GB,"115","0","45","0","7","11","2","0","0"
"18",4,"Jacksonville Jaguars",JAC,"120","0","40","0","16","11","2","0","0"
"19",4,"Las Vegas Raiders",LV,"146","0","46","1","13","9","5","0","0"
"20",4,"Minnesota Vikings",MIN,"124","0","43","0","11","11","2","0","0"
"21",4,"New England Patriots",NE,"109","0","36","1","10","8","1","0","0"
"22",4,"Denver Broncos",DEN,"118","0","42","1","11","15","1","0","0"
"23",5,"Tampa Bay Buccaneers",TB,"133","0","48","1","13","12","1","0","0"
"24",5,"Seattle Seahawks",SEA,"109","0","47","0","11","8","3","0","0"
"25",5,"New York Giants",NYG,"131","0","34","0","18","13","3","0","0"
"26",5,"Atlanta Falcons",ATL,"95","0","42","1","8","8","1","0","0"
"27",5,"Los Angeles Rams",LAR,"83","0","41","2","10","5","0","0","0"
"28",5,"Los Angeles Chargers",LAC,"112","0","48","0","9","12","0","0","0"
"29",5,"Carolina Panthers",CAR,"71","0","27","0","8","3","2","0","0"
"30",5,"Tennessee Titans",TEN,"102","0","45","0","6","8","1","0","0"
"31",5,"Washington Commanders",WAS,"64","0","39","0","8","10","0","0","0"
"32",5,"Arizona Cardinals",ARI,"65","0","33","0","11","6","1","0","0"
