"RK",TIERS,"PLAYER NAME",TEAM,"FANTASYPTS","COMP","ATT","PCT","YDS","TDS","INT","ATT","YDS","TDS","SACK"
"1",1,"Josh Allen",BUF,"410.6","385","579","66%","4306","29","18","111","524","15","24"
"2",1,"Jalen Hurts",PHI,"371.8","352","538","65%","3858","23","15","157","605","15","36"
"3",1,"Patrick Mahomes II",KC,"294.2","401","597","67%","4183","27","14","75","389","0","27"
"4",1,"Lamar Jackson",BAL,"338.2","307","457","67%","3678","24","7","148","821","5","37"
"5",2,"Anthony Richardson",IND,"73.7","50","84","60%","577","3","1","25","136","4","7"
"6",2,"C.J. Stroud",HOU,"281","319","499","64%","4108","23","5","39","167","3","38"
"7",2,"Kyler Murray",ARI,"151.4","176","268","66%","1799","10","5","44","244","3","18"
"8",2,"Joe Burrow",CIN,"153.2","244","365","67%","2309","15","6","31","88","0","24"
"9",2,"Dak Prescott",DAL,"351.8","410","590","69%","4516","36","9","55","242","2","39"
"10",3,"Jordan Love",GB,"330.1","372","579","64%","4159","32","11","50","247","4","30"
"11",3,"Jayden Daniels",WAS,"0","0","0","0","0","0","0","0","0","0","0"
"12",3,"Brock Purdy",SF,"306.6","308","444","69%","4280","31","11","39","144","2","28"
"13",3,"Caleb Williams",CHI,"0","0","0","0","0","0","0","0","0","0","0"
"14",3,"Tua Tagovailoa",MIA,"284.4","388","560","69%","4624","29","14","35","74","0","29"
"15",3,"Jared Goff",DET,"303.1","407","605","67%","4575","30","12","32","21","2","30"
"16",3,"Trevor Lawrence",JAC,"276.5","370","564","66%","4016","21","14","70","339","4","35"
"17",4,"Kirk Cousins",ATL,"154.7","216","311","69%","2331","18","5","14","25","0","17"
"18",4,"Justin Herbert",LAC,"241.2","297","456","65%","3134","20","7","52","228","3","29"
"19",4,"Matthew Stafford",LAR,"254.1","326","521","63%","3965","24","11","21","65","0","30"
"20",4,"Aaron Rodgers",NYJ,"0","0","1","0%","0","0","0","0","0","0","1"
"21",4,"Deshaun Watson",CLE,"90.8","105","171","61%","1115","7","4","26","142","1","17"
"22",4,"Geno Smith",SEA,"236.3","323","499","65%","3624","20","9","37","155","1","31"
"23",4,"Baker Mayfield",TB,"284.1","364","566","64%","4044","28","10","62","163","1","40"
"24",4,"Will Levis",TEN,"106","149","255","58%","1808","8","4","25","57","1","28"
"25",5,"Daniel Jones",NYG,"63","108","160","68%","909","2","6","40","206","1","30"
"26",5,"Derek Carr",NO,"249.1","375","548","68%","3878","25","8","32","40","0","31"
"27",5,"Sam Darnold",MIN,"24.4","28","46","61%","297","2","1","21","15","1","6"
"28",5,"Bryce Young",CAR,"166.4","315","527","60%","2877","11","10","39","253","0","62"
"29",5,"Bo Nix",DEN,"0","0","0","0","0","0","0","0","0","0","0"
"30",5,"Russell Wilson",PIT,"264.9","297","447","66%","3070","26","8","80","341","3","45"
"31",5,"Drake Maye",NE,"0","0","0","0","0","0","0","0","0","0","0"
"32",5,"Gardner Minshew II",LV,"205.2","305","490","62%","3305","15","9","34","100","3","34"
"33",5,"Justin Fields",PIT,"239.2","227","370","61%","2562","16","9","124","657","4","44"
"34",5,"Aidan O'Connell",LV,"132.8","213","343","62%","2218","12","7","17","11","1","24"
"35",5,"Jacoby Brissett",NE,"22.9","18","23","78%","224","3","0","3","19","0","0"
"36",6,"Michael Penix Jr.",ATL,"0","0","0","0","0","0","0","0","0","0","0"
"37",6,"Sam Howell",SEA,"278.5","388","612","63%","3946","21","21","48","263","5","65"
"38",6,"Drew Lock",NYG,"32.1","48","76","63%","543","3","3","5","14","0","6"
"39",6,"Jameis Winston",CLE,"15","25","47","53%","264","2","3","5","-6","0","2"
"40",6,"Joe Flacco",IND,"108.8","123","204","60%","1616","13","8","9","2","0","8"
"41",6,"Jarrett Stidham",DEN,"27.6","40","66","61%","496","2","1","9","8","0","7"
"42",6,"Jake Browning",CIN,"151.4","171","243","70%","1936","12","7","27","127","3","24"
"43",6,"Kenny Pickett",PHI,"114.2","201","324","62%","2070","6","4","42","54","1","23"
"44",6,"Nick Mullens",MIN,"74.7","100","148","68%","1306","7","8","10","25","0","12"
"45",7,"Mac Jones",JAC,"118.4","224","345","65%","2120","10","12","26","96","0","22"
"46",7,"Tyrod Taylor",NYJ,"90.3","116","180","64%","1341","5","3","38","197","0","17"
"47",7,"Joshua Dobbs",SF,"210.7","262","417","63%","2464","13","10","77","421","6","30"
"48",7,"Spencer Rattler",NO,"0","0","0","0","0","0","0","0","0","0","0"
"49",7,"Marcus Mariota",WAS,"12.8","15","23","65%","164","1","1","8","52","0","3"
"50",7,"Carson Wentz",KC,"27.1","17","24","71%","163","2","1","17","56","1","2"
"51",7,"Zach Wilson",DEN,"126.9","221","368","60%","2271","8","7","36","211","0","46"
"52",7,"Jimmy Garoppolo",LAR,"73.1","110","169","65%","1205","7","9","20","39","0","14"
"53",7,"Andy Dalton",CAR,"23.6","34","58","59%","361","2","0","3","12","0","3"
"54",7,"Desmond Ridder",ARI,"189.1","249","388","64%","2836","12","12","53","193","5","31"
"55",7,"Tyson Bagent",CHI,"59.3","94","143","66%","859","3","6","23","109","2","5"
"56",7,"Mason Rudolph",TEN,"39.6","55","74","74%","719","3","0","10","8","0","6"
"57",7,"Hendon Hooker",DET,"0","0","0","0","0","0","0","0","0","0","0"
"58",7,"Malik Willis",GB,"3.1","4","5","80%","74","0","0","5","21","0","4"
"59",7,"Josh Johnson",BAL,"0","0","0","0","0","0","0","0","0","0","0"
"60",7,"Kyle Trask",TB,"-0.1","0","1","0%","0","0","0","1","-1","0","0"
"61",7,"Trey Lance",DAL,"0","0","0","0","0","0","0","0","0","0","0"
"62",7,"Skylar Thompson",MIA,"0","0","0","NaN%","0","0","0","0","0","0","0"
"63",8,"Easton Stick",LAC,"68.1","111","174","64%","1129","3","1","27","144","1","14"
"64",8,"Clayton Tune",ARI,"9.5","12","21","57%","62","0","2","8","30","1","7"
"65",8,"Mitchell Trubisky",BUF,"53.7","67","107","63%","632","4","5","16","54","2","7"
"66",8,"Mike White",BUF,"3.1","5","6","83%","74","1","1","8","-9","0","0"
"67",8,"Davis Mills",HOU,"17.8","18","39","46%","173","2","0","2","9","0","2"
"68",8,"Cooper Rush",DAL,"4.3","18","24","75%","144","0","1","12","-5","0","1"
"69",8,"Taylor Heinicke",LAC,"70","74","136","54%","890","5","4","15","124","1","8"
