"RK",TIERS,"PLAYER NAME",TEAM,"FANTASYPTS","ATT","YDS","TDS","TGT","REC","YDS","TDS"
"1",1,"Christian McCaffrey",SF,"391.3","272","1459","14","83","67","564","7"
"2",1,"Breece Hall",NYJ,"290.5","223","994","5","95","76","591","4"
"3",1,"Bijan Robinson",ATL,"246.3","214","976","4","86","58","487","4"
"4",2,"Jahmyr Gibbs",DET,"242.1","182","945","10","71","52","316","1"
"5",2,"Jonathan Taylor",IND,"156.4","169","741","7","23","19","153","1"
"6",2,"Saquon Barkley",PHI,"223.2","247","962","6","60","41","280","4"
"7",2,"Travis Etienne Jr.",JAC,"282.4","267","1008","11","73","58","476","1"
"8",3,"Isiah Pacheco",KC,"213.9","205","935","7","49","44","244","2"
"9",3,"De'Von Achane",MIA,"190.7","103","800","8","37","27","197","3"
"10",3,"Derrick Henry",BAL,"246.7","280","1167","12","36","28","214","0"
"11",3,"Kyren Williams",LAR,"255","228","1144","12","48","32","206","3"
"12",3,"Josh Jacobs",GB,"181.1","233","805","6","54","37","296","0"
"13",3,"Rachaad White",TB,"267.9","272","990","6","70","64","549","3"
"14",3,"Alvin Kamara",NO,"233","180","694","5","86","75","466","1"
"15",3,"James Cook",BUF,"232.7","237","1122","2","54","44","445","4"
"16",3,"Joe Mixon",HOU,"267","257","1034","9","64","52","376","3"
"17",3,"Kenneth Walker III",SEA,"199.4","219","905","8","37","29","259","1"
"18",4,"James Conner",ARI,"201.5","208","1040","7","33","27","165","2"
"19",4,"Rhamondre Stevenson",NE,"145.7","156","619","4","51","38","238","0"
"20",4,"Aaron Jones",MIN,"134.9","142","656","2","43","30","233","1"
"21",4,"David Montgomery",DET,"207.2","219","1015","13","24","16","117","0"
"22",4,"D'Andre Swift",CHI,"199.3","229","1049","5","49","39","214","1"
"23",4,"Najee Harris",PIT,"195.5","255","1035","8","38","29","170","0"
"24",4,"Javonte Williams",DEN,"179.2","217","774","3","58","47","228","2"
"25",4,"Raheem Mostert",MIA,"267.7","209","1012","18","32","25","175","3"
"26",5,"Tony Pollard",TEN,"222.6","252","1005","6","67","55","311","0"
"27",5,"Zamir White",LV,"73.9","104","451","1","19","15","98","0"
"28",5,"Brian Robinson Jr.",WAS,"198.1","178","733","5","43","36","368","4"
"29",5,"Jaylen Warren",PIT,"196.4","149","784","4","74","61","370","0"
"30",5,"Devin Singletary",NYG,"167.3","216","898","4","38","30","193","0"
"31",5,"Tyjae Spears",TEN,"153.8","100","453","2","70","52","385","1"
"32",5,"Chase Brown",CIN,"53.5","44","179","0","15","14","156","1"
"33",5,"Zack Moss",CIN,"169.6","183","794","5","37","27","192","2"
"34",5,"Austin Ekeler",WAS,"185.4","179","628","5","74","51","436","1"
"35",5,"Jerome Ford",CLE,"211.2","204","813","4","63","44","319","5"
"36",5,"Jonathon Brooks",CAR,"0","0","0","0","0","0","0","0"
"37",5,"Gus Edwards",LAC,"187","198","810","13","13","12","180","0"
"38",6,"Ezekiel Elliott",DAL,"174.5","184","642","3","65","51","313","2"
"39",6,"Chuba Hubbard",CAR,"182.5","238","902","5","44","39","233","0"
"40",6,"Zach Charbonnet",SEA,"106.1","108","462","1","40","33","209","0"
"41",6,"Nick Chubb",CLE,"23.1","28","170","0","4","4","21","0"
"42",6,"Blake Corum",LAR,"0","0","0","0","0","0","0","0"
"43",6,"Jaleel McLaughlin",DEN,"106","76","410","1","36","31","160","2"
"44",6,"Rico Dowdle",DAL,"91.5","89","361","2","22","17","144","2"
"45",6,"Trey Benson",ARI,"0","0","0","0","0","0","0","0"
"46",6,"Antonio Gibson",NE,"127.4","65","265","1","59","48","389","2"
"47",6,"Ty Chandler",MIN,"101","102","461","3","25","21","159","0"
