"RK",TIERS,"PLAYER NAME",TEAM,"FANTASYPTS","TGT","REC","YDS","TDS","ATT","YDS","TDS"
"1",1,"CeeDee Lamb",DAL,"403.2","181","135","1749","12","14","113","2"
"2",1,"Tyreek Hill",MIA,"376.4","171","119","1799","13","6","15","0"
"3",1,"Amon-Ra St. Brown",DET,"330.9","164","119","1515","10","4","24","0"
"4",1,"Ja'Marr Chase",CIN,"262.7","145","100","1216","7","3","-6","0"
"5",2,"Justin Jefferson",MIN,"202.2","100","68","1074","5","1","-12","0"
"6",2,"A.J. Brown",PHI,"289.6","158","106","1456","7","0","0","0"
"7",2,"Garrett Wilson",NYJ,"213.2","168","95","1042","3","4","0","0"
"8",2,"Puka Nacua",LAR,"298.5","160","105","1486","6","12","89","0"
"9",2,"Marvin Harrison Jr.",ARI,"0","0","0","0","0","0","0","0"
"10",3,"Davante Adams",LV,"265.4","175","103","1144","8","0","0","0"
"11",3,"Drake London",ATL,"174.4","110","69","905","2","0","0","0"
"12",3,"Chris Olave",NO,"231.3","138","87","1123","5","0","0","0"
"13",3,"Cooper Kupp",LAR,"164.4","95","59","737","5","1","-3","0"
"14",3,"Jaylen Waddle",MIA,"198.6","104","72","1014","4","3","12","0"
"15",3,"Mike Evans",TB,"282.5","136","79","1255","13","0","0","0"
"16",3,"Nico Collins",HOU,"260.4","109","80","1297","8","1","7","0"
"17",3,"Michael Pittman Jr.",IND,"250.2","156","109","1152","4","0","0","0"
"18",3,"Brandon Aiyuk",SF,"249.2","105","75","1342","7","0","0","0"
"19",4,"Deebo Samuel Sr.",SF,"243.7","89","60","892","7","37","225","5"
"20",4,"DeVonta Smith",PHI,"227.6","112","81","1066","7","0","0","0"
"21",4,"DK Metcalf",SEA,"225.4","119","66","1114","8","0","0","0"
"22",4,"DJ Moore",CHI,"286.5","136","96","1364","8","4","21","1"
"23",4,"Malik Nabers",NYG,"0","0","0","0","0","0","0","0"
"24",4,"Amari Cooper",CLE,"227","128","72","1250","5","0","0","0"
"25",4,"Stefon Diggs",HOU,"273.8","160","107","1183","8","1","5","0"
"26",4,"Rashee Rice",KC,"212.5","102","79","938","7","1","-3","0"
"27",4,"Terry McLaurin",WAS,"203.2","132","79","1002","4","0","0","0"
"28",4,"Zay Flowers",BAL,"206.4","108","77","858","5","8","56","1"
"29",5,"Tee Higgins",CIN,"137.6","76","42","656","5","0","0","0"
"30",5,"George Pickens",PIT,"208.8","106","63","1140","5","3","18","0"
"31",5,"Christian Kirk",JAC,"150.3","85","57","787","3","1","6","0"
"32",5,"Tank Dell",HOU,"165","75","47","709","7","11","51","0"
"33",5,"Chris Godwin",TB,"209.2","130","83","1024","2","4","38","1"
"34",5,"Diontae Johnson",CAR,"152.7","87","51","717","5","0","0","0"
"35",5,"Calvin Ridley",TEN,"229.9","136","76","1016","8","9","23","0"
"36",5,"Keenan Allen",CHI,"278.9","150","108","1243","7","2","6","0"
