RK,PLAYER NAME,POS,POS RANK,TEAM,BYE WEEK,ADP,ADP ROUND,TIMES DRAFTED,HIGH,LOW,STDEV
1,Seattle Defense,DST,1,SEA,11,81.7,7.10,274,58,101,8.7
2,Denver Defense,DST,2,DEN,10,86.8,8.03,421,68,107,7.1
3,Houston Defense,DST,3,HOU,8,97.8,9.02,891,72,124,9.5
4,LA Rams Defense,DST,4,LAR,11,107.7,9.12,753,78,147,11.4
5,Minnesota Defense,DST,5,MIN,6,110.4,10.02,101,84,133,10.1
6,San Francisco Defense,DST,6,SF,8,113.5,10.06,6,77,164,40.0
7,New England Defense,DST,7,NE,11,128.5,11.08,363,87,179,15.7
8,Detroit Defense,DST,8,DET,6,129.2,11.09,175,91,175,14.5
9,Pittsburgh Defense,DST,9,PIT,9,134.4,12.02,415,94,180,15.2
10,Philadelphia Defense,DST,10,PHI,10,137.9,12.06,706,95,180,16.5
11,LA Chargers Defense,DST,11,LAC,7,140.1,12.08,665,101,180,14.7
12,Jacksonville Defense,DST,12,JAX,7,155.8,13.12,776,118,201,14.5
13,Green Bay Defense,DST,13,GB,11,156.2,13.12,21,133,198,14.6
14,Cleveland Defense,DST,14,CLE,11,158.7,14.03,460,120,197,14.9
15,Buffalo Defense,DST,15,BUF,7,160.9,14.05,663,120,207,15.7
16,Baltimore Defense,DST,16,BAL,13,163.4,14.07,373,112,210,19.4
17,Dallas Defense,DST,17,DAL,14,166.0,14.10,60,104,209,23.8
18,NY Giants Defense,DST,18,NYG,8,168.1,14.12,27,136,209,20.8
19,Tennessee Defense,DST,19,TEN,9,171.0,15.03,150,137,210,12.7
20,New Orleans Defense,DST,20,NO,8,173.0,15.05,107,135,210,15.6
21,Chicago Defense,DST,21,CHI,10,173.4,15.05,27,140,210,20.4
22,Atlanta Defense,DST,22,ATL,11,174.9,15.07,75,120,210,21.0
23,Cincinnati Defense,DST,23,CIN,6,179.3,15.11,51,90,210,34.0
24,Washington Defense,DST,24,WAS,7,195.9,17.04,17,144,210,23.5
