RK,PLAYER NAME,POS,POS RANK,TEAM,BYE WEEK,ADP,ADP ROUND,TIMES DRAFTED,HIGH,LOW,STDEV
1,Brandon Aubrey,K,1,DAL,14,128.5,11.08,2192,71,184,21.9
2,Jason Myers,K,2,SEA,11,136.8,12.05,199,89,184,18.2
3,Ka'imi Fairbairn,K,3,HOU,8,137.0,12.05,193,84,186,20.0
4,Cameron Dicker,K,4,LAC,7,141.9,12.10,302,91,187,19.3
5,Jake Bates,K,5,DET,6,147.3,13.03,183,103,190,18.5
6,Harrison Mevis,K,6,LAR,11,147.5,13.04,151,110,194,16.3
7,Cam Little,K,7,JAX,7,151.7,13.08,409,106,199,17.5
8,Joey Slye,K,8,TEN,9,153.2,13.09,11,148,178,11.5
9,Chase McLaughlin,K,9,TB,10,153.7,13.10,161,106,210,18.3
10,Tyler Loop,K,10,BAL,13,155.8,13.12,168,115,200,15.5
11,Tyler Bass,K,11,BUF,7,158.2,14.02,17,110,210,24.6
12,Chris Boswell,K,12,PIT,9,158.9,14.03,50,111,204,20.5
13,Wil Lutz,K,13,DEN,10,160.0,14.04,186,119,209,16.5
14,Trey Smack,K,14,GB,11,160.1,14.04,34,123,205,20.9
15,Will Reichard,K,15,MIN,6,161.1,14.05,155,118,201,16.4
16,Harrison Butker,K,16,KC,5,161.1,14.05,260,107,210,20.5
17,Blake Grupe,K,17,IND,13,162.1,14.06,74,137,210,16.3
18,Eddy Piñeiro,K,18,SF,8,164.4,14.08,89,110,206,20.7
19,Cairo Santos,K,19,CHI,10,166.0,14.10,36,113,210,21.2
20,Nick Folk,K,20,ATL,11,166.6,14.11,15,82,204,32.4
21,Andy Borregales,K,21,NE,11,169.2,15.01,25,136,206,16.1
22,Evan McPherson,K,22,CIN,6,170.3,15.02,90,122,208,18.4
23,Dominic Zvada,K,23,NYG,8,176.8,15.09,5,168,192,9.1
24,Jake Elliott,K,24,PHI,10,180.2,15.12,5,169,204,14.1
