RK,PLAYER NAME,POS,POS RANK,TEAM,BYE WEEK,ADP,ADP ROUND,TIMES DRAFTED,HIGH,LOW,STDEV
1,Josh Allen,QB,1,BUF,7,33.7,3.10,1671,10,50,9.1
2,Drake Maye,QB,2,NE,11,51.2,5.03,452,30,70,7.8
3,Lamar Jackson,QB,3,BAL,13,56.6,5.09,929,38,73,7.1
4,Joe Burrow,QB,4,CIN,6,57.2,5.09,746,37,75,7.7
5,Dak Prescott,QB,5,DAL,14,65.1,6.05,620,43,96,8.4
6,Jayden Daniels,QB,6,WAS,7,71.9,6.12,672,43,113,11.0
7,Matthew Stafford,QB,7,LAR,11,77.1,7.05,392,50,115,11.1
8,Jalen Hurts,QB,8,PHI,10,78.4,7.06,823,50,112,10.8
9,Brock Purdy,QB,9,SF,8,87.2,8.03,278,57,120,11.6
10,Caleb Williams,QB,10,CHI,10,90.2,8.06,1304,58,121,12.0
11,Trevor Lawrence,QB,11,JAX,7,91.4,8.07,1211,59,127,12.4
12,Jared Goff,QB,12,DET,6,100.6,9.05,630,66,127,13.2
13,Patrick Mahomes,QB,13,KC,5,102.2,9.06,930,69,132,12.7
14,Justin Herbert,QB,14,LAC,7,105.2,9.09,1538,68,140,14.1
15,Bo Nix,QB,15,DEN,10,111.5,10.04,844,77,142,13.1
16,Jaxson Dart,QB,16,NYG,8,116.9,10.09,536,85,142,12.1
17,Baker Mayfield,QB,17,TB,10,129.9,11.10,450,102,150,10.6
18,Kyler Murray,QB,18,MIN,6,134.0,12.02,644,105,166,11.1
19,Tyler Shough,QB,19,NO,8,135.1,12.03,306,104,154,11.9
20,Sam Darnold,QB,20,SEA,11,143.4,12.11,251,109,178,13.1
21,Jordan Love,QB,21,GB,11,147.0,13.03,379,112,177,13.4
22,C.J. Stroud,QB,22,HOU,8,158.2,14.02,155,121,180,14.0
23,Daniel Jones,QB,23,IND,13,160.0,14.04,220,129,180,11.8
24,Malik Willis,QB,24,MIA,6,162.3,14.06,236,127,197,13.4
25,Bryce Young,QB,25,CAR,5,163.4,14.07,34,120,192,17.9
26,Fernando Mendoza,QB,26,LV,13,164.7,14.09,22,99,207,29.5
27,Aaron Rodgers,QB,27,PIT,9,165.6,14.10,18,67,209,37.7
28,Cam Ward,QB,28,TEN,9,169.1,15.01,44,141,196,13.1
29,Jacoby Brissett,QB,29,ARI,14,174.2,15.06,14,149,205,14.3
30,Geno Smith,QB,30,NYJ,13,183.7,16.04,6,173,201,12.3
