RK,PLAYER NAME,POS,POS RANK,TEAM,BYE WEEK,ADP,ADP ROUND,TIMES DRAFTED,HIGH,LOW,STDEV
1,Jahmyr Gibbs,RB,1,DET,6,1.5,1.01,2112,1,4,0.7
2,Bijan Robinson,RB,2,ATL,11,2.2,1.02,1195,1,6,0.6
3,Christian McCaffrey,RB,3,SF,8,6.6,1.07,1697,2,12,1.6
4,Jonathan Taylor,RB,4,IND,13,7.5,1.07,1955,3,13,1.7
5,De'Von Achane,RB,5,MIA,6,10.6,1.11,910,5,18,1.9
6,James Cook III,RB,6,BUF,7,12.6,2.01,3087,5,22,2.8
7,Chase Brown,RB,7,CIN,6,13.4,2.01,1979,6,22,2.5
8,Derrick Henry,RB,8,BAL,13,17.4,2.05,1106,10,25,2.7
9,Ashton Jeanty,RB,9,LV,13,17.6,2.06,1283,3,35,5.6
10,Saquon Barkley,RB,10,PHI,10,19.3,2.07,2825,10,30,3.4
11,Kenneth Walker,RB,11,KC,5,21.6,2.10,2666,10,37,4.2
12,Omarion Hampton,RB,12,LAC,7,23.3,2.11,2380,11,37,4.4
13,Jeremiyah Love,RB,13,ARI,14,27.8,3.04,690,17,41,3.8
14,Josh Jacobs,RB,14,GB,11,31.1,3.07,717,21,42,3.5
15,Kyren Williams,RB,15,LAR,11,32.0,3.08,1321,20,44,4.3
16,Breece Hall,RB,16,NYJ,13,34.7,3.11,763,23,47,4.2
17,Javonte Williams,RB,17,DAL,14,37.0,4.01,1657,25,50,4.6
18,Travis Etienne Jr.,RB,18,NO,8,38.7,4.03,891,25,52,5.1
19,Cam Skattebo,RB,19,NYG,8,38.8,4.03,599,24,56,5.4
20,Bucky Irving,RB,20,TB,10,45.2,4.09,631,32,64,4.9
21,D'Andre Swift,RB,21,CHI,10,45.8,4.10,1232,34,58,4.5
22,Quinshon Judkins,RB,22,CLE,11,50.8,5.03,841,37,66,5.2
23,Bhayshul Tuten,RB,23,JAX,7,52.9,5.05,1097,38,69,5.5
24,David Montgomery,RB,24,HOU,8,58.2,5.10,1847,42,79,6.2
25,Jaylen Warren,RB,25,PIT,9,59.0,5.11,276,44,74,5.9
26,TreVeyon Henderson,RB,26,NE,11,63.0,6.03,704,46,81,6.5
27,Rhamondre Stevenson,RB,27,NE,11,64.9,6.05,515,47,86,6.8
28,Tony Pollard,RB,28,TEN,9,70.3,6.10,448,53,90,6.6
29,Rico Dowdle,RB,29,PIT,9,75.2,7.03,533,55,97,7.5
30,Jadarian Price,RB,30,SEA,11,75.2,7.03,3207,48,119,10.3
31,Chuba Hubbard,RB,31,CAR,5,81.2,7.09,496,54,117,10.3
32,J.K. Dobbins,RB,32,DEN,10,87.7,8.04,910,60,122,10.6
33,RJ Harvey,RB,33,DEN,10,92.3,8.08,680,59,125,12.8
34,Kenny Gainwell,RB,34,TB,10,92.3,8.08,754,64,124,10.7
35,Jonathon Brooks,RB,35,CAR,5,94.6,8.11,2442,59,141,13.3
36,Aaron Jones Sr.,RB,36,MIN,6,104.3,9.08,453,72,141,12.4
37,Kyle Monangai,RB,37,CHI,10,110.8,10.03,589,77,147,12.9
38,Rachaad White,RB,38,WAS,7,113.5,10.06,570,78,148,13.6
39,Jacory Croskey-Merritt,RB,39,WAS,7,115.2,10.07,1259,78,150,14.2
40,Jordan Mason,RB,40,MIN,6,116.6,10.09,1736,74,150,16.1
41,Blake Corum,RB,41,LAR,11,122.5,11.03,1592,80,158,16.3
42,Tyjae Spears,RB,42,TEN,9,131.3,11.11,130,102,150,11.2
43,Zach Charbonnet,RB,43,SEA,11,134.2,12.02,581,92,173,16.2
44,Woody Marks,RB,44,HOU,8,140.2,12.08,440,98,177,16.1
45,Mike Washington Jr.,RB,45,LV,13,145.8,13.02,336,75,210,27.2
46,Jonah Coleman,RB,46,DEN,10,149.5,13.05,95,99,194,19.3
47,Alvin Kamara,RB,47,NO,8,150.3,13.06,302,105,180,17.1
48,Isiah Pacheco,RB,48,DET,6,152.4,13.08,209,99,180,20.3
49,Tyler Allgeier,RB,49,ARI,14,154.9,13.11,323,100,203,21.0
50,MarShawn Lloyd,RB,50,GB,11,154.9,13.11,70,104,200,20.6
51,Keaton Mitchell,RB,51,LAC,7,157.1,14.01,125,102,207,21.1
52,Chris Rodriguez Jr.,RB,52,JAX,7,157.2,14.01,207,109,193,18.4
53,Dylan Sampson,RB,53,CLE,11,157.6,14.02,82,120,180,14.4
54,Kaelon Black,RB,54,SF,8,157.9,14.02,48,112,206,25.0
55,Tyrone Tracy Jr.,RB,55,NYG,8,158.0,14.02,147,117,180,15.5
56,Braelon Allen,RB,56,NYJ,13,158.1,14.02,76,102,204,21.4
57,Emmett Johnson,RB,57,KC,5,158.1,14.02,9,137,176,12.6
58,Najee Harris,RB,58,NYG,8,158.8,14.03,5,130,187,22.4
59,Emari Demercado,RB,59,KC,5,159.0,14.03,5,144,184,20.6
60,Ray Davis,RB,60,BUF,7,159.4,14.03,13,112,207,28.0
61,Jordan James,RB,61,SF,8,159.8,14.04,8,126,189,22.5
62,Brian Robinson,RB,62,ATL,11,160.3,14.04,38,101,206,28.3
63,Malik Davis,RB,63,DAL,14,161.3,14.05,6,111,192,27.5
64,Kimani Vidal,RB,64,LAC,7,162.1,14.06,12,141,179,15.6
65,Tank Bigsby,RB,65,PHI,10,162.6,14.07,101,100,210,24.0
66,Jaydon Blue,RB,66,DAL,14,167.2,14.11,17,144,202,14.4
67,James Conner,RB,67,ARI,14,167.8,14.12,16,141,194,15.4
68,Justice Hill,RB,68,BAL,13,168.4,14.12,17,134,200,15.1
69,Ty Johnson,RB,69,BUF,7,183.8,16.04,13,145,210,24.4
