RK,PLAYER NAME,POS,POS RANK,TEAM,BYE WEEK,ADP,ADP ROUND,TIMES DRAFTED,HIGH,LOW,STDEV
1,Trey McBride,TE,1,ARI,14,28.9,3.05,1148,17,42,4.6
2,Brock Bowers,TE,2,LV,13,35.0,3.11,2689,16,52,7.1
3,Colston Loveland,TE,3,CHI,10,56.5,5.08,2137,33,80,9.0
4,Tyler Warren,TE,4,IND,13,65.2,6.05,1713,41,91,8.9
5,Kyle Pitts Sr.,TE,5,ATL,11,75.3,7.03,403,50,98,9.7
6,Harold Fannin Jr.,TE,6,CLE,11,77.5,7.05,194,58,97,7.5
7,Tucker Kraft,TE,7,GB,11,98.1,9.02,1458,49,153,18.9
8,Travis Kelce,TE,8,KC,5,104.0,9.08,385,49,150,20.9
9,Dallas Goedert,TE,9,PHI,10,105.9,9.10,405,50,154,21.4
10,George Kittle,TE,10,SF,8,109.8,10.02,915,54,160,21.3
11,Sam LaPorta,TE,11,DET,6,113.8,10.06,1007,56,166,22.0
12,Mark Andrews,TE,12,BAL,13,128.4,11.08,417,82,170,17.8
13,Jake Ferguson,TE,13,DAL,14,131.0,11.11,480,86,174,16.9
14,Isaiah Likely,TE,14,NYG,8,136.3,12.04,1316,89,175,18.2
15,Juwan Johnson,TE,15,NO,8,147.0,13.03,382,98,180,19.1
16,Dalton Kincaid,TE,16,BUF,7,147.4,13.03,384,92,196,21.2
17,David Njoku,TE,17,LAC,7,154.0,13.10,5,135,177,20.3
18,Hunter Henry,TE,18,NE,11,155.0,13.11,101,95,182,23.0
19,Kenyon Sadiq,TE,19,NYJ,13,158.0,14.02,27,115,188,17.7
20,AJ Barner,TE,20,SEA,11,158.9,14.03,14,107,204,26.5
21,Chig Okonkwo,TE,21,WAS,7,159.8,14.04,23,124,204,19.0
22,Brenton Strange,TE,22,JAX,7,160.6,14.05,77,108,204,20.1
23,Dalton Schultz,TE,23,HOU,8,161.7,14.06,67,107,195,20.8
24,Terrance Ferguson,TE,24,LAR,11,162.8,14.07,34,120,180,16.2
25,T.J. Hockenson,TE,25,MIN,6,163.7,14.08,51,102,207,25.1
26,Pat Freiermuth,TE,26,PIT,9,172.2,15.04,5,144,207,31.6
27,Greg Dulcich,TE,27,MIA,6,181.0,16.01,21,120,210,23.4
