RK,PLAYER NAME,POS,POS RANK,TEAM,BYE WEEK,ADP,ADP ROUND,TIMES DRAFTED,HIGH,LOW,STDEV
1,Puka Nacua,WR,1,LAR,11,3.1,1.03,283,1,6,0.8
2,Ja'Marr Chase,WR,2,CIN,6,3.8,1.04,2109,1,8,1.0
3,Jaxon Smith-Njigba,WR,3,SEA,11,5.5,1.05,1115,2,11,1.1
4,Amon-Ra St. Brown,WR,4,DET,6,6.4,1.06,1245,2,12,1.3
5,Drake London,WR,5,ATL,11,10.2,1.10,312,6,17,1.8
6,CeeDee Lamb,WR,6,DAL,14,10.7,1.11,1369,5,18,1.9
7,Justin Jefferson,WR,7,MIN,6,11.7,1.12,1511,5,20,2.3
8,Rashee Rice,WR,8,KC,5,14.9,2.03,254,9,24,2.3
9,A.J. Brown,WR,9,NE,11,17.6,2.06,1612,9,29,3.2
10,Chris Olave,WR,10,NO,8,19.8,2.08,615,11,30,3.3
11,Nico Collins,WR,11,HOU,8,20.4,2.08,887,13,32,2.8
12,George Pickens,WR,12,DAL,14,20.7,2.09,788,12,29,3.1
13,Garrett Wilson,WR,13,NYJ,13,25.6,3.02,398,17,39,3.1
14,Zay Flowers,WR,14,BAL,13,25.9,3.02,466,17,37,3.2
15,Malik Nabers,WR,15,NYG,8,26.8,3.03,1721,17,40,3.5
16,DeVonta Smith,WR,16,PHI,10,29.5,3.06,1467,20,44,3.5
17,Tetairoa McMillan,WR,17,CAR,5,31.5,3.07,604,21,48,3.8
18,Emeka Egbuka,WR,18,TB,10,34.8,3.11,1857,24,50,4.0
19,Tee Higgins,WR,19,CIN,6,36.6,4.01,1184,23,52,5.0
20,Ladd McConkey,WR,20,LAC,7,37.7,4.02,2441,26,59,4.5
21,Davante Adams,WR,21,LAR,11,42.0,4.06,904,30,59,4.5
22,Jameson Williams,WR,22,DET,6,44.5,4.08,535,32,64,4.7
23,Jaylen Waddle,WR,23,DEN,10,45.2,4.09,2434,31,68,5.4
24,Terry McLaurin,WR,24,WAS,7,47.4,4.11,939,34,66,4.9
25,DJ Moore,WR,25,BUF,7,47.8,4.12,2620,31,70,6.2
26,Rome Odunze,WR,26,CHI,10,53.9,5.06,1216,38,72,5.8
27,Mike Evans,WR,27,SF,8,54.5,5.06,1034,37,76,6.4
28,Luther Burden III,WR,28,CHI,10,56.2,5.08,1275,37,80,7.2
29,Christian Watson,WR,29,GB,11,58.9,5.11,1876,42,80,6.5
30,Courtland Sutton,WR,30,DEN,10,60.2,5.12,748,43,79,6.5
31,Parker Washington,WR,31,JAX,7,64.1,6.04,2196,44,87,7.5
32,DK Metcalf,WR,32,PIT,9,64.4,6.04,943,46,87,6.9
33,Marvin Harrison Jr.,WR,33,ARI,14,65.3,6.05,1244,45,87,7.5
34,Alec Pierce,WR,34,IND,13,68.7,6.09,568,49,85,7.4
35,Brian Thomas Jr.,WR,35,JAX,7,72.7,7.01,1161,53,92,7.4
36,Michael Pittman Jr.,WR,36,PIT,9,74.7,7.03,975,54,96,7.8
37,Michael Wilson,WR,37,ARI,14,76.3,7.04,1219,55,99,8.0
38,Carnell Tate,WR,38,TEN,9,78.4,7.06,1607,54,102,9.1
39,Chris Godwin Jr.,WR,39,TB,10,79.3,7.07,1622,57,101,8.2
40,Jakobi Meyers,WR,40,JAX,7,86.5,8.02,421,66,104,7.7
41,Wan'Dale Robinson,WR,41,TEN,9,86.7,8.03,738,64,110,8.4
42,Josh Downs,WR,42,IND,13,87.7,8.04,1023,65,110,8.4
43,Stefon Diggs,WR,43,WAS,7,91.5,8.08,1253,67,116,9.2
44,Jayden Reed,WR,44,GB,11,93.8,8.10,663,72,113,8.2
45,Jordan Addison,WR,45,MIN,6,97.4,9.01,599,75,126,8.5
46,Quentin Johnston,WR,46,LAC,7,97.4,9.01,861,74,119,8.9
47,Khalil Shakir,WR,47,BUF,7,102.4,9.06,398,79,127,8.7
48,Xavier Worthy,WR,48,KC,5,105.3,9.09,609,83,125,8.4
49,Matthew Golden,WR,49,GB,11,106.6,9.11,932,83,127,8.9
50,Deebo Samuel Sr.,WR,50,SF,8,107.3,9.11,587,81,134,10.0
51,Romeo Doubs,WR,51,NE,11,113.2,10.05,646,88,140,9.4
52,Makai Lemon,WR,52,PHI,10,115.9,10.08,950,87,148,10.8
53,KC Concepcion,WR,53,CLE,11,121.0,11.01,1397,93,147,10.6
54,Jalen Coker,WR,54,CAR,5,121.6,11.02,494,94,150,10.4
55,Jerry Jeudy,WR,55,CLE,11,127.1,11.07,275,97,150,11.5
56,Rashid Shaheed,WR,56,SEA,11,128.5,11.08,550,99,150,11.1
57,Tre Tucker,WR,57,LV,13,132.0,11.12,280,108,151,8.9
58,Keenan Allen,WR,58,IND,13,132.1,11.12,318,101,150,11.9
59,Jayden Higgins,WR,59,HOU,8,132.5,11.12,26,109,149,8.7
60,De'Zhaun Stribling,WR,60,SF,8,132.8,12.01,1617,89,178,16.8
61,Jalen McMillan,WR,61,TB,10,134.8,12.03,191,103,153,12.2
62,Denzel Boston,WR,62,CLE,11,138.0,12.06,122,99,168,15.0
63,Chimere Dike,WR,63,TEN,9,144.3,12.12,6,108,178,28.6
64,Calvin Ridley,WR,64,TEN,9,144.8,13.01,83,114,173,11.8
65,Jauan Jennings,WR,65,MIN,6,147.0,13.03,64,116,171,11.9
66,Malik Washington,WR,66,MIA,6,148.7,13.05,254,113,179,13.4
67,Cyrus Allen,WR,67,KC,5,148.8,13.05,46,98,204,22.6
68,Cooper Kupp,WR,68,SEA,11,151.8,13.08,117,101,180,19.3
69,Jalen Nailor,WR,69,LV,13,152.9,13.09,144,110,180,16.3
70,Rashod Bateman,WR,70,BAL,13,154.4,13.10,34,115,180,14.9
71,Jordyn Tyson,WR,71,NO,8,156.1,13.12,318,114,180,15.9
72,Tank Dell,WR,72,HOU,8,156.9,14.01,273,117,180,15.2
73,Pat Bryant,WR,73,DEN,10,156.9,14.01,9,131,199,28.8
74,Ja'Kobi Lane,WR,74,BAL,13,157.0,14.01,130,119,208,18.1
75,Devaughn Vele,WR,75,NO,8,161.1,14.05,20,133,179,13.8
76,Malachi Fields,WR,76,NYG,8,163.3,14.07,15,90,209,36.5
77,Jaylin Noel,WR,77,HOU,8,163.7,14.08,26,134,194,14.4
78,Kayshon Boutte,WR,78,HOU,8,164.0,14.08,79,116,209,18.7
79,Isaac TeSlaa,WR,79,DET,6,164.1,14.08,7,77,210,43.4
80,Adonai Mitchell,WR,80,NYJ,13,164.3,14.08,72,126,181,14.5
81,Omar Cooper Jr.,WR,81,NYJ,13,165.1,14.09,9,72,205,37.4
82,Ryan Flournoy,WR,82,DAL,14,165.9,14.10,30,89,204,29.4
83,Dontayvion Wicks,WR,83,PHI,10,166.5,14.10,102,120,209,17.6
84,Travis Hunter,WR,84,JAX,7,167.5,14.11,62,133,196,13.1
85,Tre' Harris,WR,85,LAC,7,167.8,14.12,16,102,206,27.1
86,Bub Means,WR,86,NO,8,167.8,14.12,5,115,200,32.8
87,Germie Bernard,WR,87,PIT,9,169.6,15.02,29,159,198,9.6
88,Caleb Douglas,WR,88,MIA,6,171.2,15.03,52,127,208,18.7
89,Kaden Wetjen,WR,89,PIT,9,174.0,15.06,19,166,178,2.8
90,Darius Slayton,WR,90,NYG,8,175.9,15.08,12,166,200,10.6
91,Xavier Hutchinson,WR,91,HOU,8,179.2,15.11,6,166,198,14.4
92,Xavier Legette,WR,92,CAR,5,180.2,15.12,6,142,200,20.7
93,Troy Franklin,WR,93,DEN,10,181.3,16.01,15,154,206,16.9
