"RK",TIERS,"PLAYER NAME",TEAM,"POS","BYE WEEK","SOS SEASON","ECR VS. ADP"
"1",1,"Christian McCaffrey",SF,"RB1","9","2 out of 5 stars","0"
"2",1,"CeeDee Lamb",DAL,"WR1","7","3 out of 5 stars","+1"
"3",1,"Tyreek Hill",MIA,"WR2","6","2 out of 5 stars","-1"
"4",1,"Ja'Marr Chase",CIN,"WR3","12","2 out of 5 stars","+3"
"5",1,"Justin Jefferson",MIN,"WR4","6","3 out of 5 stars","-1"
"6",1,"Breece Hall",NYJ,"RB2","12","2 out of 5 stars","-1"
"7",1,"Bijan Robinson",ATL,"RB3","12","4 out of 5 stars","-1"
"8",1,"Amon-Ra St. Brown",DET,"WR5","5","4 out of 5 stars","0"
"9",2,"A.J. Brown",PHI,"WR6","5","2 out of 5 stars","0"
"10",2,"Garrett Wilson",NYJ,"WR7","12","4 out of 5 stars","+3"
"11",2,"Jonathan Taylor",IND,"RB4","14","2 out of 5 stars","0"
"12",2,"Puka Nacua",LAR,"WR8","6","3 out of 5 stars","+2"
"13",2,"Saquon Barkley",PHI,"RB5","5","4 out of 5 stars","-3"
"14",2,"Derrick Henry",BAL,"RB6","14","3 out of 5 stars","+4"
"15",2,"Jahmyr Gibbs",DET,"RB7","5","3 out of 5 stars","-3"
"16",3,"Kyren Williams",LAR,"RB8","6","3 out of 5 stars","+1"
"17",3,"Deebo Samuel Sr.",SF,"WR9","9","2 out of 5 stars","+9"
"18",3,"Marvin Harrison Jr.",ARI,"WR10","11","3 out of 5 stars","-3"
"19",3,"Mike Evans",TB,"WR11","11","3 out of 5 stars","+18"
"20",3,"Josh Allen",BUF,"QB1","12","1 out of 5 stars","+2"
"21",3,"Brandon Aiyuk",SF,"WR12","9","2 out of 5 stars","+15"
"22",3,"Nico Collins",HOU,"WR13","14","3 out of 5 stars","+5"
"23",3,"Drake London",ATL,"WR14","12","4 out of 5 stars","-2"
"24",3,"Jalen Hurts",PHI,"QB2","5","2 out of 5 stars","+5"
"25",3,"Isiah Pacheco",KC,"RB9","6","3 out of 5 stars","-1"
"26",3,"Chris Olave",NO,"WR15","12","3 out of 5 stars","-1"
"27",3,"Travis Etienne Jr.",JAC,"RB10","12","2 out of 5 stars","-11"
"28",3,"DK Metcalf",SEA,"WR16","10","3 out of 5 stars","+14"
"29",3,"Sam LaPorta",DET,"TE1","5","3 out of 5 stars","+1"
"30",3,"Davante Adams",LV,"WR17","10","3 out of 5 stars","-11"
"31",4,"Patrick Mahomes II",KC,"QB3","6","3 out of 5 stars","0"
"32",4,"Jaylen Waddle",MIA,"WR18","6","2 out of 5 stars","+7"
"33",4,"Lamar Jackson",BAL,"QB4","14","4 out of 5 stars","+8"
"34",4,"Travis Kelce",KC,"TE2","6","3 out of 5 stars","-6"
"35",4,"DJ Moore",CHI,"WR19","7","4 out of 5 stars","+5"
"36",4,"Cooper Kupp",LAR,"WR20","6","3 out of 5 stars","-1"
"37",4,"De'Von Achane",MIA,"RB11","6","3 out of 5 stars","-17"
"38",4,"Amari Cooper",CLE,"WR21","10","3 out of 5 stars","+16"
"39",4,"Kenneth Walker III",SEA,"RB12","10","4 out of 5 stars","+4"
"40",4,"DeVonta Smith",PHI,"WR22","5","2 out of 5 stars","+7"
"41",4,"Josh Jacobs",GB,"RB13","10","1 out of 5 stars","-18"
"42",4,"Malik Nabers",NYG,"WR23","11","3 out of 5 stars","+4"
"43",4,"Tee Higgins",CIN,"WR24","12","2 out of 5 stars","+14"
"44",4,"Joe Mixon",HOU,"RB14","14","3 out of 5 stars","0"
"45",5,"James Cook",BUF,"RB15","12","2 out of 5 stars","-12"
"46",5,"George Pickens",PIT,"WR25","9","1 out of 5 stars","+12"
"47",5,"Mark Andrews",BAL,"TE3","14","3 out of 5 stars","+2"
"48",5,"Anthony Richardson",IND,"QB5","14","5 out of 5 stars","+4"
"49",5,"Rachaad White",TB,"RB16","11","5 out of 5 stars","-17"
"50",5,"Tank Dell",HOU,"WR26","14","3 out of 5 stars","+15"
"51",5,"C.J. Stroud",HOU,"QB6","14","2 out of 5 stars","-1"
"52",5,"Michael Pittman Jr.",IND,"WR27","14","4 out of 5 stars","-18"
"53",5,"David Montgomery",DET,"RB17","5","3 out of 5 stars","+11"
"54",5,"Kyler Murray",ARI,"QB7","11","2 out of 5 stars","+15"
"55",5,"Zay Flowers",BAL,"WR28","14","3 out of 5 stars","+5"
"56",5,"Stefon Diggs",HOU,"WR29","14","3 out of 5 stars","-18"
"57",5,"Joe Burrow",CIN,"QB8","12","2 out of 5 stars","+6"
"58",5,"Rashee Rice",KC,"WR30","6","3 out of 5 stars","+13"
"59",5,"James Conner",ARI,"RB18","11","2 out of 5 stars","-3"
"60",5,"Terry McLaurin",WAS,"WR31","14","3 out of 5 stars","+6"
"61",5,"Alvin Kamara",NO,"RB19","12","5 out of 5 stars","-16"
"62",5,"Dak Prescott",DAL,"QB9","7","2 out of 5 stars","+16"
"63",5,"Trey McBride",ARI,"TE4","11","5 out of 5 stars","-15"
"64",5,"Najee Harris",PIT,"RB20","9","4 out of 5 stars","-2"
"65",5,"Christian Kirk",JAC,"WR32","12","4 out of 5 stars","+5"
"66",5,"Rhamondre Stevenson",NE,"RB21","14","2 out of 5 stars","-7"
"67",6,"Jordan Love",GB,"QB10","10","5 out of 5 stars","+7"
"68",6,"Aaron Jones",MIN,"RB22","6","3 out of 5 stars","-15"
"69",6,"Calvin Ridley",TEN,"WR33","5","4 out of 5 stars","+12"
"70",6,"Raheem Mostert",MIA,"RB23","6","3 out of 5 stars","+7"
"71",6,"George Kittle",SF,"TE5","9","4 out of 5 stars","-10"
"72",6,"Zamir White",LV,"RB24","10","3 out of 5 stars","-4"
"73",6,"Kyle Pitts",ATL,"TE6","12","3 out of 5 stars","-6"
"74",6,"D'Andre Swift",CHI,"RB25","7","2 out of 5 stars","-19"
"75",6,"Diontae Johnson",CAR,"WR34","11","5 out of 5 stars","+12"
"76",6,"Chris Godwin",TB,"WR35","11","3 out of 5 stars","-1"
"77",6,"Jayden Daniels",WAS,"QB11","14","3 out of 5 stars","+24"
"78",6,"Jayden Reed",GB,"WR36","10","4 out of 5 stars","+2"
"79",6,"Dalton Kincaid",BUF,"TE7","12","2 out of 5 stars","-28"
"80",6,"Brock Purdy",SF,"QB12","9","2 out of 5 stars","+18"
"81",6,"Brian Robinson Jr.",WAS,"RB26","14","3 out of 5 stars","+13"
"82",6,"Tony Pollard",TEN,"RB27","5","3 out of 5 stars","-3"
"83",6,"Keenan Allen",CHI,"WR37","7","4 out of 5 stars","-10"
"84",6,"Christian Watson",GB,"WR38","10","4 out of 5 stars","+15"
"85",6,"Javonte Williams",DEN,"RB28","14","4 out of 5 stars","-9"
"86",6,"Xavier Worthy",KC,"WR39","6","3 out of 5 stars","-4"
"87",6,"Caleb Williams",CHI,"QB13","7","4 out of 5 stars","+10"
"88",6,"Tua Tagovailoa",MIA,"QB14","6","2 out of 5 stars","+21"
"89",6,"Devin Singletary",NYG,"RB29","11","3 out of 5 stars","-6"
"90",6,"Jared Goff",DET,"QB15","5","4 out of 5 stars","+17"
"91",7,"Jake Ferguson",DAL,"TE8","7","2 out of 5 stars","-6"
"92",7,"Trevor Lawrence",JAC,"QB16","12","5 out of 5 stars","+28"
"93",7,"Evan Engram",JAC,"TE9","12","3 out of 5 stars","-21"
"94",7,"David Njoku",CLE,"TE10","10","3 out of 5 stars","-3"
"95",7,"DeAndre Hopkins",TEN,"WR40","5","4 out of 5 stars","+1"
"96",7,"Rome Odunze",CHI,"WR41","7","4 out of 5 stars","-3"
"97",7,"Zack Moss",CIN,"RB30","12","3 out of 5 stars","-13"
