id,manager,week_five,week_six,week_seven,week_eight,wins,losses,score
1,BigJedd,113.92,102.84,125.98,144.38,3,1,0
2,Cashmoneycar,112.54,138.26,142.8,107.68,2,2,0
3,CommishSchaffer,159.32,117.48,161.14,155.46,3,1,0
4,CoomCrusaders,121.08,108.14,136.36,118.72,2,2,0
5,EliteE,111.32,154.02,115.04,113.32,1,3,0
6,Glasseschandy,121.74,118.34,84.74,100.32,1,3,0
7,Gmkabler,140.26,158.64,168.32,108.28,2,2,0
8,JDWarren042,141.74,142.4,142.48,165.42,3,1,0
9,chrisdubstevens,143.22,95.4,173.76,126.22,2,2,0
10,gkabler,163.54,114.06,75.04,102.38,1,3,0
11,jwarren64,155.58,131.8,103.42,170.18,1,3,0
12,mstika,147.2,140.02,124.14,152.72,3,1,0
