id,manager,week_nine,week_ten,week_eleven,week_twelve,week_thirteen,week_fourteen,wins,losses,score
1,BigJedd,96.46,110.2,113.14,96.86,130.78,155.06,3,3,0
2,Cashmoneycar,178.58,87.6,89.04,126.86,124.44,78.12,3,3,0
3,CommishSchaffer,119.7,172.8,128.44,139.88,143.74,123.4,6,0,0
4,CoomCrusaders,92.9,78.32,103.12,144.36,140.2,131.54,2,4,0
5,EliteE,139.46,151.0,126.9,129.96,151.94,107.56,4,2,0
6,Glasseschandy,123.64,184.58,104.36,94.56,139.72,118.56,3,3,0
7,Gmkabler,168.2,139.62,134.02,190.96,114.16,113.98,3,3,0
8,JDWarren042,127.36,152.94,149.32,147.42,103.84,160.64,4,2,0
9,chrisdubstevens,168.72,99.44,151.68,142.52,122.12,158.84,4,2,0
10,gkabler,121.52,123.1,123.6,83.58,124.74,97.68,1,5,0
11,jwarren64,105.28,143.4,100.54,139.04,86.54,146.16,1,5,0
12,mstika,114.1,130.22,74.2,173.56,94.1,91.0,2,4,0
