id,manager,week_one,week_two,week_three,week_four,wins,losses,score
1,BigJedd,150.18,133.0,101.82,150.42,3,1,0
2,Cashmoneycar,82.62,141.88,141.2,137.62,2,2,0
3,CommishSchaffer,140.72,102.48,151.86,162.9,3,1,0
4,CoomCrusaders,125.22,137.9,106.18,156.76,3,1,0
5,EliteE,126.48,158.96,135.96,96.42,1,3,0
6,Glasseschandy,116.52,143.4,115.4,94.08,1,3,0
7,Gmkabler,134.08,192.2,159.22,168.76,4,0,0
8,JDWarren042,167.96,152.2,112.42,130.88,3,1,0
9,chrisdubstevens,117.26,104.12,130.02,129.26,1,3,0
10,gkabler,114.24,150.64,96.42,116.04,1,3,0
11,jwarren64,111.82,101.44,129.92,122.58,1,3,0
12,mstika,118.98,82.84,149.84,154.4,1,3,0
